1D Transient Heat Conduction Solver

Enter Length of slab (L): 1
Enter Number of nodes: 6 
Enter Fourier Number (beta): 0.2
Enter Initial Peak Temp at x=0: 100
Enter Right Boundary Temp: 0
Enter Convergence Tolerance: 0.0001

Grid Info:
Total Nodes: 6
Number of Divisions in slab: 5
Spatial Step (dx): 0.20
 
Step n=72: 24.09, 22.91, 19.49, 14.16, 7.44, 0.00
Step n=73: 23.61, 22.46, 19.10, 13.88, 7.30, 0.00
Step n=74: 23.15, 22.02, 18.73, 13.61, 7.15, 0.00
Step n=75: 22.70, 21.59, 18.36, 13.34, 7.01, 0.00
Step n=76: 22.25, 21.17, 18.00, 13.08, 6.88, 0.00
Step n=77: 21.82, 20.75, 17.65, 12.82, 6.74, 0.00
Step n=78: 21.39, 20.34, 17.31, 12.57, 6.61, 0.00
Step n=79: 20.97, 19.95, 16.97, 12.33, 6.48, 0.00
Step n=80: 20.56, 19.56, 16.64, 12.09, 6.35, 0.00
Step n=81: 20.16, 19.17, 16.31, 11.85, 6.23, 0.00
Step n=82: 19.76, 18.80, 15.99, 11.62, 6.11, 0.00
Step n=83: 19.38, 18.43, 15.68, 11.39, 5.99, 0.00
Step n=84: 19.00, 18.07, 15.37, 11.17, 5.87, 0.00
Step n=85: 18.63, 17.71, 15.07, 10.95, 5.76, 0.00
Step n=86: 18.26, 17.37, 14.77, 10.73, 5.64, 0.00
Step n=87: 17.90, 17.03, 14.48, 10.52, 5.53, 0.00
Step n=88: 17.55, 16.69, 14.20, 10.32, 5.42, 0.00
Step n=89: 17.21, 16.37, 13.92, 10.12, 5.32, 0.00
Step n=90: 16.87, 16.05, 13.65, 9.92, 5.21, 0.00
Step n=91: 16.54, 15.73, 13.38, 9.72, 5.11, 0.00
Step n=92: 16.22, 15.43, 13.12, 9.53, 5.01, 0.00
Step n=93: 15.90, 15.12, 12.86, 9.35, 4.91, 0.00
Step n=94: 15.59, 14.83, 12.61, 9.16, 4.82, 0.00
Step n=95: 15.28, 14.54, 12.37, 8.98, 4.72, 0.00
Step n=96: 14.99, 14.25, 12.12, 8.81, 4.63, 0.00
Step n=97: 14.69, 13.97, 11.89, 8.64, 4.54, 0.00
Step n=98: 14.40, 13.70, 11.65, 8.47, 4.45, 0.00
Step n=99: 14.12, 13.43, 11.43, 8.30, 4.36, 0.00
Step n=100: 13.85, 13.17, 11.20, 8.14, 4.28, 0.00
Step n=101: 13.58, 12.91, 10.98, 7.98, 4.19, 0.00
Step n=102: 13.31, 12.66, 10.77, 7.82, 4.11, 0.00
Step n=103: 13.05, 12.41, 10.56, 7.67, 4.03, 0.00
Step n=104: 12.79, 12.17, 10.35, 7.52, 3.95, 0.00
Step n=105: 12.54, 11.93, 10.15, 7.37, 3.88, 0.00
Step n=106: 12.30, 11.70, 9.95, 7.23, 3.80, 0.00
Step n=107: 12.06, 11.47, 9.75, 7.09, 3.73, 0.00
Step n=108: 11.82, 11.24, 9.56, 6.95, 3.65, 0.00
Step n=109: 11.59, 11.02, 9.38, 6.81, 3.58, 0.00
Step n=110: 11.36, 10.81, 9.19, 6.68, 3.51, 0.00
Step n=111: 11.14, 10.59, 9.01, 6.55, 3.44, 0.00
Step n=112: 10.92, 10.39, 8.84, 6.42, 3.38, 0.00
Step n=113: 10.71, 10.18, 8.66, 6.29, 3.31, 0.00
Step n=114: 10.50, 9.98, 8.49, 6.17, 3.24, 0.00
Step n=115: 10.29, 9.79, 8.33, 6.05, 3.18, 0.00
Step n=116: 10.09, 9.60, 8.16, 5.93, 3.12, 0.00
Step n=117: 9.89, 9.41, 8.00, 5.82, 3.06, 0.00
Step n=118: 9.70, 9.23, 7.85, 5.70, 3.00, 0.00
Step n=119: 9.51, 9.04, 7.69, 5.59, 2.94, 0.00
Step n=120: 9.32, 8.87, 7.54, 5.48, 2.88, 0.00
Step n=121: 9.14, 8.69, 7.40, 5.37, 2.82, 0.00
Step n=122: 8.96, 8.52, 7.25, 5.27, 2.77, 0.00
Step n=123: 8.79, 8.36, 7.11, 5.16, 2.72, 0.00
Step n=124: 8.61, 8.19, 6.97, 5.06, 2.66, 0.00
Step n=125: 8.45, 8.03, 6.83, 4.96, 2.61, 0.00
Step n=126: 8.28, 7.88, 6.70, 4.87, 2.56, 0.00
Step n=127: 8.12, 7.72, 6.57, 4.77, 2.51, 0.00
Step n=128: 7.96, 7.57, 6.44, 4.68, 2.46, 0.00
Step n=129: 7.80, 7.42, 6.31, 4.59, 2.41, 0.00
Step n=130: 7.65, 7.28, 6.19, 4.50, 2.36, 0.00
Step n=131: 7.50, 7.13, 6.07, 4.41, 2.32, 0.00
Step n=132: 7.35, 6.99, 5.95, 4.32, 2.27, 0.00
Step n=133: 7.21, 6.86, 5.83, 4.24, 2.23, 0.00
Step n=134: 7.07, 6.72, 5.72, 4.16, 2.18, 0.00
Step n=135: 6.93, 6.59, 5.61, 4.07, 2.14, 0.00
Step n=136: 6.80, 6.46, 5.50, 3.99, 2.10, 0.00
Step n=137: 6.66, 6.34, 5.39, 3.92, 2.06, 0.00
Step n=138: 6.53, 6.21, 5.28, 3.84, 2.02, 0.00
Step n=139: 6.40, 6.09, 5.18, 3.76, 1.98, 0.00
Step n=140: 6.28, 5.97, 5.08, 3.69, 1.94, 0.00
Step n=141: 6.16, 5.85, 4.98, 3.62, 1.90, 0.00
Step n=142: 6.04, 5.74, 4.88, 3.55, 1.86, 0.00
Step n=143: 5.92, 5.63, 4.79, 3.48, 1.83, 0.00
Step n=144: 5.80, 5.52, 4.69, 3.41, 1.79, 0.00
Step n=145: 5.69, 5.41, 4.60, 3.34, 1.76, 0.00
Step n=146: 5.58, 5.30, 4.51, 3.28, 1.72, 0.00
Step n=147: 5.47, 5.20, 4.42, 3.21, 1.69, 0.00
Step n=148: 5.36, 5.10, 4.34, 3.15, 1.66, 0.00
Step n=149: 5.26, 5.00, 4.25, 3.09, 1.62, 0.00
Step n=150: 5.15, 4.90, 4.17, 3.03, 1.59, 0.00
Step n=151: 5.05, 4.80, 4.09, 2.97, 1.56, 0.00
Step n=152: 4.95, 4.71, 4.01, 2.91, 1.53, 0.00
Step n=153: 4.86, 4.62, 3.93, 2.85, 1.50, 0.00
Step n=154: 4.76, 4.53, 3.85, 2.80, 1.47, 0.00
Step n=155: 4.67, 4.44, 3.78, 2.74, 1.44, 0.00
Step n=156: 4.58, 4.35, 3.70, 2.69, 1.41, 0.00
Step n=157: 4.49, 4.27, 3.63, 2.64, 1.39, 0.00
Step n=158: 4.40, 4.18, 3.56, 2.59, 1.36, 0.00
Step n=159: 4.31, 4.10, 3.49, 2.53, 1.33, 0.00
Step n=160: 4.23, 4.02, 3.42, 2.49, 1.31, 0.00
Step n=161: 4.15, 3.94, 3.35, 2.44, 1.28, 0.00
Step n=162: 4.06, 3.87, 3.29, 2.39, 1.26, 0.00
Step n=163: 3.98, 3.79, 3.22, 2.34, 1.23, 0.00
Step n=164: 3.91, 3.72, 3.16, 2.30, 1.21, 0.00
Step n=165: 3.83, 3.64, 3.10, 2.25, 1.18, 0.00
Step n=166: 3.76, 3.57, 3.04, 2.21, 1.16, 0.00
Step n=167: 3.68, 3.50, 2.98, 2.16, 1.14, 0.00
Step n=168: 3.61, 3.43, 2.92, 2.12, 1.12, 0.00
Step n=169: 3.54, 3.37, 2.86, 2.08, 1.09, 0.00
Step n=170: 3.47, 3.30, 2.81, 2.04, 1.07, 0.00
Step n=171: 3.40, 3.24, 2.75, 2.00, 1.05, 0.00
Step n=172: 3.33, 3.17, 2.70, 1.96, 1.03, 0.00
Step n=173: 3.27, 3.11, 2.65, 1.92, 1.01, 0.00
Step n=174: 3.21, 3.05, 2.59, 1.88, 0.99, 0.00
Step n=175: 3.14, 2.99, 2.54, 1.85, 0.97, 0.00
Step n=176: 3.08, 2.93, 2.49, 1.81, 0.95, 0.00
Step n=177: 3.02, 2.87, 2.44, 1.78, 0.93, 0.00
Step n=178: 2.96, 2.82, 2.40, 1.74, 0.92, 0.00
Step n=179: 2.90, 2.76, 2.35, 1.71, 0.90, 0.00
Step n=180: 2.85, 2.71, 2.30, 1.67, 0.88, 0.00
Step n=181: 2.79, 2.65, 2.26, 1.64, 0.86, 0.00
Step n=182: 2.74, 2.60, 2.21, 1.61, 0.85, 0.00
Step n=183: 2.68, 2.55, 2.17, 1.58, 0.83, 0.00
Step n=184: 2.63, 2.50, 2.13, 1.55, 0.81, 0.00
Step n=185: 2.58, 2.45, 2.09, 1.52, 0.80, 0.00
Step n=186: 2.53, 2.40, 2.05, 1.49, 0.78, 0.00
Step n=187: 2.48, 2.36, 2.01, 1.46, 0.77, 0.00
Step n=188: 2.43, 2.31, 1.97, 1.43, 0.75, 0.00
Step n=189: 2.38, 2.27, 1.93, 1.40, 0.74, 0.00
Step n=190: 2.34, 2.22, 1.89, 1.37, 0.72, 0.00
Step n=191: 2.29, 2.18, 1.85, 1.35, 0.71, 0.00
Step n=192: 2.25, 2.14, 1.82, 1.32, 0.69, 0.00
Step n=193: 2.20, 2.09, 1.78, 1.29, 0.68, 0.00
Step n=194: 2.16, 2.05, 1.75, 1.27, 0.67, 0.00
Step n=195: 2.12, 2.01, 1.71, 1.24, 0.65, 0.00
Step n=196: 2.07, 1.97, 1.68, 1.22, 0.64, 0.00
Step n=197: 2.03, 1.93, 1.65, 1.20, 0.63, 0.00
Step n=198: 1.99, 1.90, 1.61, 1.17, 0.62, 0.00
Step n=199: 1.96, 1.86, 1.58, 1.15, 0.60, 0.00
Step n=200: 1.92, 1.82, 1.55, 1.13, 0.59, 0.00
Step n=201: 1.88, 1.79, 1.52, 1.10, 0.58, 0.00
Step n=202: 1.84, 1.75, 1.49, 1.08, 0.57, 0.00
Step n=203: 1.81, 1.72, 1.46, 1.06, 0.56, 0.00
Step n=204: 1.77, 1.68, 1.43, 1.04, 0.55, 0.00
Step n=205: 1.74, 1.65, 1.41, 1.02, 0.54, 0.00
Step n=206: 1.70, 1.62, 1.38, 1.00, 0.53, 0.00
Step n=207: 1.67, 1.59, 1.35, 0.98, 0.52, 0.00
Step n=208: 1.64, 1.56, 1.32, 0.96, 0.51, 0.00
Step n=209: 1.60, 1.53, 1.30, 0.94, 0.50, 0.00
Step n=210: 1.57, 1.50, 1.27, 0.92, 0.49, 0.00
Step n=211: 1.54, 1.47, 1.25, 0.91, 0.48, 0.00
Step n=212: 1.51, 1.44, 1.22, 0.89, 0.47, 0.00
Step n=213: 1.48, 1.41, 1.20, 0.87, 0.46, 0.00
Step n=214: 1.45, 1.38, 1.18, 0.85, 0.45, 0.00
Step n=215: 1.43, 1.36, 1.15, 0.84, 0.44, 0.00
Step n=216: 1.40, 1.33, 1.13, 0.82, 0.43, 0.00
Step n=217: 1.37, 1.30, 1.11, 0.81, 0.42, 0.00
Step n=218: 1.34, 1.28, 1.09, 0.79, 0.42, 0.00
Step n=219: 1.32, 1.25, 1.07, 0.77, 0.41, 0.00
Step n=220: 1.29, 1.23, 1.04, 0.76, 0.40, 0.00
Step n=221: 1.27, 1.20, 1.02, 0.74, 0.39, 0.00
Step n=222: 1.24, 1.18, 1.00, 0.73, 0.38, 0.00
Step n=223: 1.22, 1.16, 0.98, 0.72, 0.38, 0.00
Step n=224: 1.19, 1.13, 0.97, 0.70, 0.37, 0.00
Step n=225: 1.17, 1.11, 0.95, 0.69, 0.36, 0.00
Step n=226: 1.15, 1.09, 0.93, 0.67, 0.35, 0.00
Step n=227: 1.12, 1.07, 0.91, 0.66, 0.35, 0.00
Step n=228: 1.10, 1.05, 0.89, 0.65, 0.34, 0.00
Step n=229: 1.08, 1.03, 0.87, 0.64, 0.33, 0.00
Step n=230: 1.06, 1.01, 0.86, 0.62, 0.33, 0.00
Step n=231: 1.04, 0.99, 0.84, 0.61, 0.32, 0.00
